id_loss,claim_amount,leakage_label,pet_breed,pet_species,owner_age,number_of_previous_claims,days_to_claim,policy_tenure
126,240.95,0,poodle,dog,54,1,0,48
127,186.51,0,poodle,dog,45,1,5,37
128,256.89,0,bulldog,dog,41,2,14,25
129,213.7,0,labrador,dog,62,2,11,3
130,326.19,0,bulldog,dog,24,2,14,51
131,283.99,0,labrador,dog,48,4,19,53
132,116.86,0,poodle,dog,49,2,4,9
133,255.6,0,poodle,dog,41,1,21,5
134,277.06,0,spaniel,dog,33,2,4,57
135,407.53,0,ragdoll,cat,49,2,3,19
136,219.02,0,persian,cat,44,3,14,40
137,350.52,0,ragdoll,cat,44,1,7,41
138,223.53,0,poodle,dog,23,1,19,24
139,975.01,0,poodle,dog,33,0,1,41
140,307.38,0,retriever,dog,39,1,19,20
141,246.7,0,bulldog,dog,38,4,5,6
142,502.14,0,bengal,cat,57,0,2,56
143,290.7,0,spaniel,dog,49,0,2,1
144,171.73,0,labrador,dog,29,2,12,32
145,184.45,1,retriever,dog,44,0,15,57
146,535.83,0,labrador,dog,53,1,6,42
147,164.29,1,maine_coon,cat,31,1,2,21
148,330.0,0,bulldog,dog,44,0,20,29
149,132.46,0,persian,cat,36,2,9,8
150,145.8,0,siamese,cat,45,0,1,3
151,237.99,0,spaniel,dog,46,1,11,15
152,105.16,1,bulldog,dog,51,2,17,8
153,185.04,0,maine_coon,cat,43,2,15,26
154,615.59,1,poodle,dog,42,2,14,15
155,327.77,1,maine_coon,cat,35,1,11,17
156,262.94,0,spaniel,dog,39,1,10,40
157,299.56,0,siamese,cat,57,3,2,1
158,271.49,0,labrador,dog,49,0,5,26
159,159.17,0,poodle,dog,38,3,12,48
160,213.0,0,retriever,dog,40,1,19,19
161,544.18,0,retriever,dog,29,2,13,27
162,113.32,0,persian,cat,41,1,7,38
163,573.64,0,persian,cat,59,5,2,14
164,198.42,0,ragdoll,cat,39,1,16,56
165,184.23,0,maine_coon,cat,41,1,12,14
166,599.85,0,labrador,dog,48,0,11,43
167,258.4,0,poodle,dog,51,2,13,9
168,764.92,1,persian,cat,38,1,9,43
169,554.21,0,spaniel,dog,51,1,11,35
170,122.37,0,labrador,dog,49,1,5,27
171,200.55,0,poodle,dog,40,2,11,24
172,143.48,1,spaniel,dog,28,1,12,31
173,191.82,0,maine_coon,cat,53,2,13,41
174,437.49,1,labrador,dog,38,2,2,57
175,466.48,0,bulldog,dog,28,1,0,49
176,180.89,0,bulldog,dog,33,4,11,7
177,288.32,0,bulldog,dog,32,1,0,56
178,491.39,0,persian,cat,48,1,12,42
179,160.83,0,labrador,dog,34,0,7,28
180,336.89,0,labrador,dog,43,1,2,40
181,429.9,0,retriever,dog,45,2,22,14
182,533.26,0,retriever,dog,51,1,14,43
183,241.33,0,poodle,dog,43,3,11,52
184,92.71,0,ragdoll,cat,32,2,6,14
185,326.64,0,spaniel,dog,41,1,9,30
186,464.84,0,ragdoll,cat,25,0,10,32
187,238.97,0,poodle,dog,27,2,10,11
188,277.72,0,bengal,cat,32,0,5,42
189,120.01,0,bulldog,dog,41,0,11,56
190,452.52,0,poodle,dog,48,1,3,20
191,601.93,0,poodle,dog,49,0,27,42
192,138.87,1,ragdoll,cat,41,2,5,17
193,204.77,0,poodle,dog,44,0,8,46
194,210.56,0,retriever,dog,43,3,5,18
195,105.87,0,siamese,cat,42,3,0,1
196,341.78,0,bengal,cat,38,2,10,54
197,159.54,0,bengal,cat,45,4,2,33
198,158.78,0,bulldog,dog,41,1,10,9
199,178.18,0,persian,cat,45,1,0,11
200,132.68,1,poodle,dog,44,2,4,38
201,177.31,0,ragdoll,cat,43,7,16,46
202,390.59,0,retriever,dog,36,2,6,3
203,337.41,0,spaniel,dog,25,3,3,49
204,603.23,0,poodle,dog,41,2,8,40
205,156.63,0,labrador,dog,24,0,16,14
206,182.9,0,retriever,dog,29,3,13,4
207,143.02,1,bulldog,dog,42,3,47,23
208,199.24,0,labrador,dog,28,4,8,12
209,191.23,0,spaniel,dog,37,2,3,38
210,721.11,0,spaniel,dog,40,1,15,55
211,200.97,0,spaniel,dog,26,1,8,31
212,256.45,0,bulldog,dog,36,0,22,26
213,137.46,1,persian,cat,45,5,1,30
214,211.89,0,maine_coon,cat,32,0,12,32
215,241.91,0,spaniel,dog,35,0,15,37
216,272.08,1,retriever,dog,53,2,14,17
217,405.84,0,siamese,cat,45,2,26,19
218,331.76,0,spaniel,dog,45,2,12,14
219,115.34,0,bulldog,dog,37,3,25,4
220,262.11,0,spaniel,dog,41,1,6,12
221,298.66,0,ragdoll,cat,45,1,3,7
222,77.37,1,poodle,dog,53,1,3,4
223,377.39,0,labrador,dog,23,2,11,36
224,559.52,0,persian,cat,36,1,2,40
225,85.34,1,bulldog,dog,42,0,7,4
226,246.48,0,bulldog,dog,53,2,11,56
227,281.48,0,bengal,cat,26,1,10,42
228,386.88,0,siamese,cat,43,2,12,53
229,499.15,0,labrador,dog,46,0,13,1
230,240.38,0,bengal,cat,47,1,0,21
231,413.64,0,maine_coon,cat,46,3,2,33
232,187.06,0,persian,cat,36,4,3,36
233,175.99,0,spaniel,dog,32,1,7,2
234,139.33,0,persian,cat,48,1,8,43
235,189.35,0,ragdoll,cat,52,4,5,4
236,186.31,0,ragdoll,cat,45,0,5,37
237,450.53,0,retriever,dog,33,2,12,9
238,245.88,0,bulldog,dog,39,3,2,28
239,73.9,1,retriever,dog,33,0,3,11
240,174.96,1,bulldog,dog,35,1,15,46
241,202.3,0,retriever,dog,38,2,15,20
242,330.14,0,spaniel,dog,34,2,21,13
243,529.56,1,retriever,dog,51,2,14,2
244,672.2,0,siamese,cat,37,3,2,13
245,308.15,0,spaniel,dog,51,1,8,3
246,184.84,0,maine_coon,cat,33,1,12,1
247,122.93,0,bengal,cat,48,0,10,41
248,246.56,0,labrador,dog,67,1,5,19
249,413.2,1,ragdoll,cat,28,1,2,23
250,263.21,0,ragdoll,cat,56,3,5,42
251,430.25,0,retriever,dog,39,1,2,54
252,480.78,0,labrador,dog,51,2,28,54
253,609.73,0,maine_coon,cat,59,1,7,1
254,354.78,0,spaniel,dog,43,2,5,44
255,525.93,0,bulldog,dog,26,1,2,30
256,409.2,0,bulldog,dog,44,5,12,52
257,100.91,0,labrador,dog,43,2,12,31
258,566.94,0,retriever,dog,45,0,10,1
259,287.97,1,retriever,dog,34,2,6,43
260,607.66,0,siamese,cat,50,1,24,6
261,385.4,1,poodle,dog,45,3,12,11
262,133.69,0,labrador,dog,39,0,14,5
263,265.94,1,retriever,dog,21,0,9,20
264,211.44,0,maine_coon,cat,43,1,7,25
265,415.49,0,spaniel,dog,53,1,0,24
266,334.39,0,retriever,dog,53,1,11,36
267,274.11,0,labrador,dog,35,2,3,42
268,353.31,0,poodle,dog,43,2,4,43
269,130.79,0,ragdoll,cat,36,2,19,26
270,185.46,0,retriever,dog,41,0,10,16
271,234.86,0,labrador,dog,47,1,7,46
272,84.75,0,poodle,dog,30,1,7,22
273,205.59,0,retriever,dog,38,1,14,59
274,270.16,1,bulldog,dog,40,3,0,59
275,207.78,0,bulldog,dog,35,1,6,10
276,190.43,0,poodle,dog,39,0,1,12
277,251.24,0,labrador,dog,46,2,9,44
278,295.87,0,poodle,dog,38,4,3,29
279,270.02,0,labrador,dog,43,2,5,30
280,457.76,0,poodle,dog,32,2,6,49
281,273.17,0,maine_coon,cat,49,2,15,50
282,52.68,0,siamese,cat,39,2,7,12
283,683.15,0,bulldog,dog,33,1,8,58
284,328.44,0,persian,cat,55,1,10,25
285,179.87,0,ragdoll,cat,50,1,10,14
286,124.4,0,siamese,cat,55,1,7,24
287,250.56,0,retriever,dog,51,2,5,40
288,130.91,0,poodle,dog,48,0,2,58
289,67.7,0,labrador,dog,30,1,15,46
290,250.07,0,labrador,dog,57,1,11,54
291,203.72,0,retriever,dog,41,2,12,4
292,200.7,0,spaniel,dog,44,2,2,41
293,260.65,0,bulldog,dog,38,1,2,48
294,427.06,1,spaniel,dog,30,3,12,15
295,170.56,0,persian,cat,40,2,11,36
296,242.36,0,labrador,dog,49,2,3,46
297,136.75,0,poodle,dog,44,4,5,11
298,206.75,0,labrador,dog,53,0,3,5
299,115.07,0,siamese,cat,34,3,13,7
300,616.99,1,siamese,cat,46,1,3,44
301,118.83,0,labrador,dog,59,0,2,13
302,217.46,0,maine_coon,cat,63,1,2,27
303,87.95,0,ragdoll,cat,38,0,0,52
304,88.44,0,labrador,dog,38,1,10,18
305,201.05,0,ragdoll,cat,44,2,11,29
306,342.78,0,bengal,cat,48,1,19,39
307,143.67,0,bengal,cat,44,1,4,49
308,122.12,0,retriever,dog,51,1,5,42
309,353.82,0,retriever,dog,34,0,4,48
310,340.25,1,retriever,dog,47,1,1,39
311,189.71,0,maine_coon,cat,19,1,14,40
312,376.85,0,spaniel,dog,28,3,3,15
313,361.82,0,maine_coon,cat,40,0,6,54
314,95.1,1,labrador,dog,48,3,5,2
315,196.29,0,bengal,cat,51,1,9,17
316,891.82,0,poodle,dog,30,2,13,53
317,237.44,0,bengal,cat,36,2,8,10
318,208.54,0,labrador,dog,44,3,22,56
319,587.54,0,persian,cat,42,1,9,40
320,271.16,0,labrador,dog,49,0,9,10
321,640.18,0,maine_coon,cat,37,1,4,45
322,119.25,1,poodle,dog,37,2,8,52
323,810.93,0,bengal,cat,48,3,8,3
324,434.5,0,labrador,dog,46,4,13,25
325,92.09,0,bengal,cat,54,1,7,55
326,147.53,1,retriever,dog,29,0,13,30
327,357.37,0,spaniel,dog,36,3,7,10
328,116.53,0,retriever,dog,34,1,5,53
329,275.75,0,siamese,cat,38,5,10,12
330,366.73,1,poodle,dog,39,3,7,20
331,676.45,0,bulldog,dog,44,0,17,25
332,374.84,0,maine_coon,cat,31,0,2,16
333,315.59,1,retriever,dog,50,1,7,40
334,349.62,0,ragdoll,cat,48,1,15,12
335,209.0,1,poodle,dog,37,0,13,40
336,271.66,0,retriever,dog,25,0,21,11
337,176.54,0,labrador,dog,59,2,9,46
338,418.47,0,retriever,dog,40,1,10,47
339,160.76,0,bulldog,dog,43,0,5,36
340,237.09,0,poodle,dog,49,2,8,30
341,462.26,0,retriever,dog,42,1,3,20
342,228.22,0,bulldog,dog,23,3,3,1
343,350.31,0,labrador,dog,40,2,13,56
344,178.58,0,labrador,dog,42,2,3,50
345,229.01,0,persian,cat,43,2,14,49
346,214.36,1,persian,cat,24,3,18,9
347,125.69,0,spaniel,dog,32,2,8,12
348,137.21,0,maine_coon,cat,32,1,3,25
349,426.23,0,spaniel,dog,37,1,6,3
350,323.99,1,persian,cat,37,2,7,19
351,197.43,0,labrador,dog,55,0,8,12
352,222.9,0,poodle,dog,60,2,6,19
353,315.8,0,retriever,dog,49,0,2,22
354,200.75,0,retriever,dog,22,0,6,56
355,198.21,0,spaniel,dog,44,2,6,3
356,414.59,0,retriever,dog,43,1,7,19
357,310.2,0,spaniel,dog,57,1,5,34
358,115.41,0,bengal,cat,37,1,10,20
359,213.31,0,poodle,dog,36,2,7,51
360,148.69,0,labrador,dog,40,2,24,29
361,179.41,0,bulldog,dog,27,1,7,25
362,277.67,1,poodle,dog,44,2,1,35
363,125.45,0,bengal,cat,34,3,3,43
364,671.37,0,siamese,cat,45,3,10,59
365,285.18,0,bulldog,dog,50,3,18,12
366,404.81,1,siamese,cat,39,0,11,3
367,267.49,0,labrador,dog,24,0,9,41
368,152.3,0,poodle,dog,33,2,3,30
369,350.63,0,maine_coon,cat,29,2,12,5
370,121.16,0,persian,cat,47,1,5,59
371,202.68,0,labrador,dog,57,1,10,41
372,309.02,0,maine_coon,cat,48,4,2,2
373,162.0,1,bulldog,dog,34,0,37,30
374,128.81,0,bulldog,dog,27,3,4,10
375,164.86,0,retriever,dog,39,3,7,30
376,194.81,0,bulldog,dog,39,3,3,33
377,120.55,0,retriever,dog,40,1,4,37
378,383.85,0,spaniel,dog,52,1,15,8
379,328.86,1,bulldog,dog,28,1,20,5
380,371.31,0,persian,cat,45,3,5,32
381,229.98,0,bengal,cat,58,1,7,47
382,154.8,1,poodle,dog,31,2,7,26
383,222.17,0,persian,cat,42,3,7,9
384,291.22,1,bulldog,dog,44,1,2,17
385,276.2,0,bulldog,dog,40,2,1,28
386,139.01,0,retriever,dog,57,1,12,40
387,571.8,0,poodle,dog,37,0,5,10
388,116.93,0,poodle,dog,53,2,0,26
389,151.84,0,maine_coon,cat,52,1,19,56
390,138.09,0,siamese,cat,29,3,1,23
391,412.09,0,maine_coon,cat,46,0,14,45
392,243.49,0,bengal,cat,47,0,11,59
393,83.66,0,siamese,cat,53,1,9,14
394,180.11,0,spaniel,dog,33,1,20,3
395,235.88,0,maine_coon,cat,42,4,12,30
396,197.32,1,retriever,dog,47,3,19,40
397,61.47,0,retriever,dog,35,3,17,22
398,416.96,0,poodle,dog,51,0,14,3
399,265.79,0,labrador,dog,21,0,2,44
400,473.55,0,bengal,cat,38,0,15,58
401,148.32,0,bengal,cat,29,2,19,19
402,594.94,1,bulldog,dog,32,1,19,34
403,311.25,1,ragdoll,cat,46,2,9,13
404,123.84,0,retriever,dog,61,0,15,46
405,282.79,0,spaniel,dog,45,0,3,3
406,632.13,0,spaniel,dog,31,1,23,8
407,73.24,0,poodle,dog,28,1,7,36
408,229.12,0,poodle,dog,40,0,6,51
409,485.46,0,bulldog,dog,43,1,17,47
410,308.7,0,bengal,cat,35,0,11,7
411,158.03,1,retriever,dog,47,0,7,54
412,381.84,0,spaniel,dog,58,2,5,7
413,283.21,1,maine_coon,cat,37,3,3,4
414,139.94,1,persian,cat,35,1,2,4
415,163.54,1,poodle,dog,39,1,5,51
416,399.4,1,poodle,dog,29,0,10,41
417,222.09,0,retriever,dog,35,1,14,48
418,183.44,0,persian,cat,45,4,12,18
419,273.0,1,bulldog,dog,31,1,15,43
420,344.89,1,poodle,dog,50,1,14,36
421,800.28,0,retriever,dog,50,1,4,51
422,232.88,0,retriever,dog,33,1,10,4
423,781.69,0,retriever,dog,51,1,7,23
424,311.73,1,spaniel,dog,37,2,1,31
425,302.8,0,bengal,cat,61,2,3,32
426,157.79,0,labrador,dog,44,2,8,28
427,260.62,0,labrador,dog,28,0,18,32
428,154.64,0,bulldog,dog,32,1,6,51
429,245.15,0,maine_coon,cat,35,2,13,37
430,238.14,0,labrador,dog,38,0,7,4
431,202.92,0,bengal,cat,44,2,14,16
432,292.2,0,siamese,cat,34,2,8,9
433,233.88,0,maine_coon,cat,49,1,8,22
434,223.57,0,labrador,dog,42,1,7,26
435,192.54,0,poodle,dog,53,1,11,2
436,581.41,0,siamese,cat,34,3,4,51
437,360.04,0,bulldog,dog,52,1,1,52
438,452.01,0,spaniel,dog,50,1,8,41
439,247.5,0,bulldog,dog,37,0,6,11
440,312.88,0,spaniel,dog,70,1,5,15
441,268.16,0,ragdoll,cat,50,0,6,37
442,157.91,0,spaniel,dog,35,0,14,28
443,364.51,0,bulldog,dog,36,0,5,20
444,83.35,0,persian,cat,27,0,5,3
445,278.52,0,siamese,cat,31,2,3,5
446,135.34,0,bulldog,dog,45,0,14,25
447,55.35,0,maine_coon,cat,37,5,6,51
448,287.79,0,spaniel,dog,32,0,0,37
449,272.0,0,bulldog,dog,52,5,15,4
450,234.62,0,labrador,dog,23,1,8,12
451,569.3,0,bulldog,dog,41,2,14,28
452,214.82,0,bulldog,dog,39,4,2,5
453,231.15,0,retriever,dog,33,0,8,39
454,243.75,0,persian,cat,50,0,26,44
455,315.53,0,bulldog,dog,39,1,8,22
456,289.92,0,poodle,dog,53,1,13,15
457,166.23,0,labrador,dog,48,2,4,53
458,488.84,0,persian,cat,30,2,20,20
459,237.52,1,persian,cat,51,0,35,10
460,202.67,1,labrador,dog,47,1,16,48
461,309.17,1,spaniel,dog,51,3,10,36
462,611.9,0,persian,cat,40,2,8,48
463,120.86,0,spaniel,dog,32,1,30,22
464,266.78,0,labrador,dog,41,3,12,51
465,246.32,0,poodle,dog,39,1,18,7
466,393.19,0,retriever,dog,45,0,34,37
467,207.61,1,spaniel,dog,65,2,5,40
468,217.15,0,retriever,dog,27,1,0,6
469,242.73,0,spaniel,dog,40,0,14,52
470,285.1,0,spaniel,dog,39,0,6,24
471,352.39,0,labrador,dog,32,1,14,34
472,353.18,0,bulldog,dog,58,4,8,21
473,513.43,0,persian,cat,36,3,14,58
474,148.41,0,siamese,cat,38,0,22,37
475,129.2,0,persian,cat,33,2,11,34
476,174.55,0,persian,cat,32,3,5,42
477,426.76,0,ragdoll,cat,23,3,19,2
478,611.05,1,poodle,dog,45,0,7,13
479,293.27,0,ragdoll,cat,33,0,4,22
480,345.93,0,bengal,cat,49,2,7,47
481,300.33,0,spaniel,dog,19,1,16,44
482,327.64,0,maine_coon,cat,44,2,13,46
483,393.22,0,labrador,dog,36,3,25,45
484,315.36,0,maine_coon,cat,33,3,13,32
485,195.51,0,poodle,dog,61,1,4,40
486,214.4,1,ragdoll,cat,24,2,31,35
487,201.85,0,bulldog,dog,39,4,9,10
488,354.63,0,siamese,cat,45,2,4,18
489,95.08,0,bengal,cat,40,1,8,22
490,258.12,0,spaniel,dog,42,0,7,37
491,336.86,0,siamese,cat,39,2,6,28
492,404.7,0,spaniel,dog,31,0,16,12
493,593.83,0,bulldog,dog,28,0,20,16
494,216.03,0,bengal,cat,18,0,7,38
495,188.67,0,poodle,dog,48,1,20,31
496,556.8,0,labrador,dog,37,2,7,40
497,102.49,1,labrador,dog,36,1,18,38
498,298.55,0,labrador,dog,41,1,6,11
499,532.63,1,persian,cat,38,3,4,4
500,605.15,0,poodle,dog,41,2,15,54
501,189.82,0,siamese,cat,51,4,12,7
502,271.17,0,bengal,cat,20,1,4,41
503,832.46,0,retriever,dog,60,0,7,7
504,105.56,1,persian,cat,40,1,13,24
505,547.21,0,labrador,dog,51,2,6,13
506,56.93,0,labrador,dog,50,1,4,56
507,349.03,0,persian,cat,50,0,2,17
508,133.78,0,maine_coon,cat,63,1,7,34
509,354.73,0,bulldog,dog,41,1,10,21
510,136.36,0,persian,cat,57,1,12,41
511,192.55,0,bulldog,dog,37,2,12,34
512,161.42,0,retriever,dog,39,2,7,9
513,400.57,1,bulldog,dog,35,0,9,20
514,373.54,0,spaniel,dog,50,1,24,18
515,634.35,0,retriever,dog,37,6,16,10
516,95.94,0,labrador,dog,30,1,4,23
517,160.72,1,persian,cat,58,1,11,53
518,291.49,0,bengal,cat,43,2,11,30
519,622.15,0,labrador,dog,44,1,30,3
520,192.9,0,labrador,dog,36,0,8,46
521,517.86,0,persian,cat,41,1,0,38
522,523.96,0,retriever,dog,38,0,3,17
523,304.95,1,spaniel,dog,48,0,5,19
524,277.43,0,spaniel,dog,50,1,4,44
525,181.03,0,bulldog,dog,39,1,21,21
526,110.42,0,spaniel,dog,31,3,8,53
527,245.64,0,spaniel,dog,67,1,29,22
528,169.36,0,labrador,dog,58,0,15,56
529,241.83,0,bulldog,dog,18,3,12,18
530,161.06,0,spaniel,dog,38,2,2,15
531,292.33,0,siamese,cat,35,0,9,4
532,149.31,0,retriever,dog,44,0,5,31
533,367.68,1,maine_coon,cat,50,1,7,54
534,180.19,0,labrador,dog,57,2,3,5
535,249.74,0,poodle,dog,24,1,10,45
536,179.15,0,labrador,dog,52,2,5,26
537,288.89,0,poodle,dog,40,1,3,57
538,135.55,0,poodle,dog,56,0,20,41
539,265.47,0,retriever,dog,45,0,16,24
540,343.07,1,maine_coon,cat,45,1,4,10
541,428.51,0,poodle,dog,37,1,16,51
542,256.18,0,poodle,dog,60,1,4,59
543,336.25,0,ragdoll,cat,34,2,2,33
544,537.33,0,siamese,cat,41,0,3,7
545,158.76,0,maine_coon,cat,52,2,8,44
546,109.77,0,poodle,dog,39,3,4,30
547,563.66,0,spaniel,dog,51,1,20,2
548,139.73,0,bulldog,dog,18,1,4,47
549,215.31,0,labrador,dog,36,1,10,28
550,133.66,0,labrador,dog,47,3,4,24
551,235.18,1,poodle,dog,32,3,3,57
552,207.71,1,bulldog,dog,55,2,12,47
553,209.39,0,persian,cat,43,3,1,28
554,95.88,0,retriever,dog,40,1,3,27
555,55.37,0,bengal,cat,45,2,11,31
556,268.33,0,retriever,dog,32,0,13,14
557,187.19,0,poodle,dog,51,0,6,30
558,228.42,0,poodle,dog,31,1,8,32
559,131.74,0,labrador,dog,54,0,9,59
560,183.69,0,poodle,dog,46,0,5,56
561,262.38,1,labrador,dog,47,1,1,49
562,369.32,0,poodle,dog,30,2,8,34
563,258.66,0,siamese,cat,18,3,3,10
564,264.15,1,maine_coon,cat,33,1,10,47
565,476.04,1,bengal,cat,29,2,20,46
566,295.59,0,bengal,cat,29,2,4,35
567,178.23,0,bulldog,dog,41,2,21,39
568,479.91,0,poodle,dog,58,0,0,37
569,444.94,0,labrador,dog,61,0,17,29
570,240.95,0,spaniel,dog,22,2,9,10
571,141.63,0,labrador,dog,43,2,12,16
572,193.72,0,spaniel,dog,59,1,6,57
573,699.08,1,persian,cat,37,4,13,54
574,499.17,0,spaniel,dog,49,0,20,57
575,664.68,0,bulldog,dog,53,1,5,58
576,138.48,0,bulldog,dog,26,0,4,11
577,217.17,0,bulldog,dog,32,3,6,32
578,315.18,0,ragdoll,cat,37,0,29,49
579,427.81,0,spaniel,dog,54,2,6,42
580,191.74,0,persian,cat,51,1,5,33
581,264.31,0,poodle,dog,34,3,3,54
582,165.93,0,spaniel,dog,53,2,15,42
583,346.64,0,poodle,dog,52,1,2,49
584,432.39,0,bengal,cat,44,0,7,47
585,435.35,0,poodle,dog,51,3,6,50
586,253.45,0,retriever,dog,52,1,2,42
587,157.2,0,poodle,dog,37,0,14,11
588,394.29,0,labrador,dog,34,2,15,36
589,350.8,0,retriever,dog,46,1,3,50
590,203.84,0,retriever,dog,49,1,2,58
591,236.6,0,retriever,dog,53,2,10,52
592,144.75,1,siamese,cat,54,3,19,1
593,431.45,0,maine_coon,cat,52,4,6,52
